UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Zulfikar Akbar,@zoelfick,2021-11-20T16:44:01.000Z,"Zulfikar Akbar
@zoelfick
·
23h","Pakaiannya sederhana, usianya pun masih terlalu muda (14 tahun), tapi ia tidak hanya mengangkat citra Mandalika, tetapi juga nama Indonesia.
35
356
2.2K",,35,356,2.2K,['https://pbs.twimg.com/media/FEprrKmVEAMvhBo?format=jpg&name=small'],https://twitter.com/zoelfick/status/1462099420871151618
Ali Syarief,@alisyarief,2021-11-20T21:58:58.000Z,"Ali Syarief
@alisyarief
·
17h","Di Stadion Mandalika, balapan berhenti karena hujan besar. Desember ini, di stadion baru yg akan diresmikan Anies, bisa nonton Sepak Bola, saat hujan sekalipun. Ada atapnya. Dan, waktu sholatpun tdk terganggu
258
451
2.1K",,258,451,2.1K,[],https://twitter.com/alisyarief/status/1462178681262993413
Wan Li,@Kimi58486332,2021-11-20T21:33:04.000Z,"Wan Li
@Kimi58486332
·
18h","Ada pawang Hujan di sirkuit Mandalika.....kalian emang DOBOL !!!
205
268
1K",😎,205,268,1K,['https://pbs.twimg.com/media/FEqt1GgVUAM9vaL?format=jpg&name=900x900'],https://twitter.com/Kimi58486332/status/1462172166493913090
Mas Piyu,@maspiyuaja,2021-11-20T08:45:45.000Z,"Mas Piyu
@maspiyuaja
·
Nov 20","Hujan Badai Guyur Sirkuit Mandalika, Balapan Pertama World Superbike Ambyar, Pawang Hujan 'Not Working' Alias Gak Mempan https://portal-islam.id/2021/11/hujan-badai-guyur-sirkuit-mandalika.html…
501
1K
3.1K",😂,501,1K,3.1K,"['https://pbs.twimg.com/media/FEn-LGdVEAQF9rp?format=jpg&name=small', 'https://pbs.twimg.com/media/FEn-LGgUUAUw8dp?format=jpg&name=small']",https://twitter.com/maspiyuaja/status/1461979064655220737
Aku Berpendapat,@akuberpendapat,2021-11-20T09:21:28.000Z,"Aku Berpendapat
@akuberpendapat
·
Nov 20","Pendapat pribadi tentang pelaksanaan WSBK Sirkuit Mandalika Lombok. Hujan deras dan menyebabkan banjir. Banyak genangan air. Panitia kurang siap utk angkut penumpang yang hendak balik.
482
1.2K
1.7K",,482,1.2K,1.7K,['https://pbs.twimg.com/ext_tw_video_thumb/1461987994269732866/pu/img/Y0c0210qHFm1EqGF.jpg'],https://twitter.com/akuberpendapat/status/1461988050800574464
DEMOCRAZY News,@democrazymedia,2021-11-20T11:20:00.000Z,"DEMOCRAZY News
@democrazymedia
·
Nov 20","Nasib Warga di Tengah Sirkuit Mandalika: Tanah Tak Kunjung Dibayar dan Terganggu Suara Motor
democrazy.id
Nasib Warga di Tengah Sirkuit Mandalika: Tanah Tak Kunjung Dibayar dan Terganggu Suara Motor
Nasib Warga di Tengah Sirkuit Mandalika: Tanah Tak Kunjung Dibayar dan Terganggu Suara Motor
43
342
812",,43,342,812,['https://pbs.twimg.com/card_img/1462017882922135559/evPNxgNL?format=jpg&name=small'],https://twitter.com/democrazymedia/status/1462017880028069899
Komisi Wasit,@MafiaWasit,2021-11-20T06:54:14.000Z,"Komisi Wasit
@MafiaWasit
·
Nov 20","Dikarena Sirkuit Mandalika banjir, maka Komdis meMUtuskan #IDNWorldSBK dipindah ke Sirkuit Parkiran Mandala Krida tanpa penonton!
172
484
1.6K",,172,484,1.6K,['https://pbs.twimg.com/media/FEnkrgzVUAU5ajo?format=jpg&name=small'],https://twitter.com/MafiaWasit/status/1461950998096715781
🅻™❁ⓃⓀⓇⒾ,,2021-11-20T09:50:39.000Z,"🅻™❁ⓃⓀⓇⒾ
·
Nov 20","WSBK Mandalika dirancang era Soeharto 1989 macet krn pendanaan.
Di lanjut Sby 2011 macet juga krn masalah pembebasan lahan
Dilanjut Pak Jokowi 2015 masalah pembebasan lahan bisa diantisipasi dgn baik

Yg cuma duduk di puji...yg kerja & merealisakan gk dipuji..gk tahu Malu ya 
198
159
760",🇲 💤 🅰 🇪 ❎ ⛪ 🕌 🕍 🛕 ⛩ 🙏 💞 🌏 🤪 😝,198,159,760,['https://pbs.twimg.com/media/FEoND_zVcAgQvjK?format=jpg&name=small'],https://twitter.com/alextham878/status/1461995393785286660
Komisi Wasit,@MafiaWasit,2021-11-20T10:31:35.000Z,"Komisi Wasit
@MafiaWasit
·
Nov 20","Foto dua orang di depan ini sangat ngeganggu promosi keindahan sirkuit Mandalika yang dipakai #IDNWorldSBK
128
273
786",,128,273,786,['https://pbs.twimg.com/media/FEoWbWmVgAIROQu?format=jpg&name=small'],https://twitter.com/MafiaWasit/status/1462005697428656130
Korban Ceklist Satu,@An_Kiim,2021-11-20T11:08:01.000Z,"Korban Ceklist Satu
@An_Kiim
·
Nov 20","Hujan Badai Guyur Sirkuit Mandalika, Balapan Pertama World Superbike Ambyar, Pawang Hujan 'Not Working' Alias Gak Mempan  

#dukungMUI 
#dukungMUI
2:18
21.8K views
26
119
315",🤣,26,119,315,[],https://twitter.com/An_Kiim/status/1462014863660642304
