UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
TOGOG,@MinakMegaow,2020-11-20T23:08:49.000Z,"TOGOG
@MinakMegaow
·
Nov 21, 2020","Bandara International Lombok dibenahi utk menyambut kejuaraan dunia balap MotoGP Mandalika yg akan berlangsung Oktober 2021.

Proyek pengembangan ini ditargetkan selesai pada Februari 2021
@jokowi
1",,,,1,['https://pbs.twimg.com/media/EnTXdLwVoAAsJeI?format=jpg&name=small'],https://twitter.com/MinakMegaow/status/1329924688462573568
Jerry The Fred™,@TheMornin9,2020-11-20T09:44:59.000Z,"Jerry The Fred™
@TheMornin9
·
Nov 20, 2020","asik bener sirkuit Portimao, naek turun..
Mandalika kalo dibikin kayak begini keren jg..
1
2",,1,,2,[],https://twitter.com/TheMornin9/status/1329722397251887105
Mandor Tambal Ban,@YB1VK,2020-11-20T11:26:40.000Z,"Mandor Tambal Ban
@YB1VK
·
Nov 20, 2020","Replying to 
@daffana
Eh kirain teasernya Mandalika...
1",,1,,,[],https://twitter.com/YB1VK/status/1329747986088247298
Creating Destinations,@ITDC_id,2020-11-20T02:19:10.000Z,"Creating Destinations
@ITDC_id
·
Nov 20, 2020","DPD RI mengunjungi dan melihat langsung proses konstruksi JKK yang sedang berlangsung, serta melakukan diskusi dan memberikan masukan dan dukungan akan persiapan perhelatan #IndonesianGP di Balawista, Kuta Beach Park, The Mandalika.
1",,1,,,[],https://twitter.com/ITDC_id/status/1329610204837683200
Dre!,@andrekelv,2020-11-20T16:38:26.000Z,"Dre!
@andrekelv
·
Nov 20, 2020","Replying to 
@detikcom
Lah gmna? Katanya kemaren fix? Seingt gue dana buat pembangunan mandalika ini ga dipotong loh buat anggaran covid, ko malah jadi cadangan?",,,,,[],https://twitter.com/andrekelv/status/1329826444713680898
TEMPO.CO,@tempodotco,2020-11-20T11:46:02.000Z,"TEMPO.CO
@tempodotco
·
Nov 20, 2020","MotoGP: Sirkuit Mandalika Target Selesai Pertengahan 2021, Jadi Sirkuit Tercepat https://sport.tempo.co/read/1407275/motogp-sirkuit-mandalika-target-selesai-pertengahan-2021-jadi-sirkuit-tercepat?utm_source=Digital%20Marketing&utm_medium=Twitter&utm_campaign=dlvrit… #TempoSport
sport.tempo.co
MotoGP: Sirkuit Mandalika Target Selesai Pertengahan 2021, Jadi Sirkuit Tercepat
Sirkuit Mandalika di Indonesia diharapkan siap menjadi tuan rumah balapan MotoGP pada pertengahan 2021.
1
1
3",,1,1,3,[],https://twitter.com/tempodotco/status/1329752860809039873
Flyin18T Motorsports,@Flyin18T,2020-11-20T09:33:34.000Z,"Flyin18T Motorsports
@Flyin18T
·
Nov 20, 2020",Indonesia's Mandalika MotoGP circuit ready for mid-2021 http://dlvr.it/Rm4GvV #MotoGP,,,,,['https://pbs.twimg.com/media/EnQc3ISVkAElH86?format=jpg&name=small'],https://twitter.com/Flyin18T/status/1329719525588156416
LinNasution,@LinNasution,2020-11-20T17:52:33.000Z,"LinNasution
@LinNasution
·
Nov 21, 2020","Lima Bali Baru ini meliputi Danau Toba di Sumatera Utara; Candi Borobudur di Magelang, Jawa Tengah; Mandalika di Lombok, Nusa Tenggara Barat; Labuan Bajo di Nusa Tenggara Timur; serta Likupang di Sulawesi Utara.
kerjha.com
Lima KSPN Super Prioritas: Menata Danau Toba Jadi Kian Berkelas (1) - Kerja Hasil
Kerjha ― Biar keindahan dan pesona Indonesia tak hanya identik dengan Pulau Dewata Bali, pemerintah mencanangkan lima Kawasan Strategis Pariwisata Nasional (KSPN) baru. Kondang dengan sebutan Lima...
1",,,1,,[],https://twitter.com/LinNasution/status/1329845098805301249
Telusur.co.id,@telusur_co_id,2020-11-20T09:09:00.000Z,"Telusur.co.id
@telusur_co_id
·
Nov 20, 2020","Menteri Pekerjaan Umum dan Perumahan Rakyat (PUPR) Basuki Hadimuljono optimis dukungan infrastruktur pada lima Kawasan Strategis Pariwisata Nasional (KSPN), yaitu Danau Toba, Borobudur, Mandalika, Labuan Bajo dan Manado Bitung-Likupang, selesai pada tahun 2021.
telusur.co.id
Menteri PUPR Optimis Penataan KSPN Super Prioritas Rampung Tahun Depan",,,,,['https://pbs.twimg.com/ad_img/1329708026501193728/FvSPm6br?format=jpg&name=small'],https://twitter.com/telusur_co_id/status/1329713341728747521
bintang selatan,@berteman_kopi,2020-11-20T12:37:09.000Z,"bintang selatan
@berteman_kopi
·
Nov 20, 2020","Replying to 
@kisendiRI81
 @bangZhack68
 and 
@RestyResseh
Woow...

Kodam Udayana yang wilayahnya meliputi Provinsi Bali, Nusa Tenggara Barat, dan Nusa Tenggara Timur.

Ada Mandalika disana...
2",,,,2,[],https://twitter.com/berteman_kopi/status/1329765726719152129
